generation,bestFitness,worstFitness,avgFitness,stdFitness,evalDurationNanos,recordedAt
66,0.11179419573108208,0.23230196861055807,0.18059493427654175,0.05066015445327213,621750,2026-02-19T10:31:50.838938Z
67,0.11179419573108208,0.24068832169488502,0.17604399289346906,0.05262154608398744,105583,2026-02-19T10:31:50.839235Z
68,0.11179419573108208,0.2007344263584905,0.15709169481157895,0.03632854568799221,87917,2026-02-19T10:31:50.839455Z
69,0.11179419573108208,0.245513405634292,0.193062009503984,0.05826946723970725,75041,2026-02-19T10:31:50.839661Z
70,0.11179419573108208,0.12444377752183754,0.11649744557151348,0.0056504375080685745,235875,2026-02-19T10:31:50.841895Z
71,0.11179419573108208,0.20918482178424427,0.14841379560818954,0.04327202371788522,196084,2026-02-19T10:31:50.842937Z
72,0.11179419573108208,0.13982121904499817,0.12493257736011838,0.01150872326127765,378625,2026-02-19T10:31:50.843794Z
73,0.11179419573108208,0.20088968255380857,0.16871232584123144,0.04036153981434283,68708,2026-02-19T10:31:50.844594Z
74,0.11179419573108208,0.20199834891489543,0.1561009538754851,0.03684286368892475,163083,2026-02-19T10:31:50.846072Z
75,0.11179419573108208,0.16284336056342774,0.135811604631237,0.0209494474635515,89875,2026-02-19T10:31:50.846441Z
76,0.07939335505833904,0.1618591278002791,0.12731520428916573,0.03497025012686213,79375,2026-02-19T10:31:50.846849Z
77,0.07939335505833904,0.23603574391589816,0.16752554652896542,0.06543687281452291,76875,2026-02-19T10:31:50.847076Z
78,0.07939335505833904,0.2366377778665586,0.15822268004895593,0.06419543501000508,71708,2026-02-19T10:31:50.848876Z
79,0.07939335505833904,0.22923925865761552,0.17067121726309872,0.06540080524198237,87917,2026-02-19T10:31:50.849890Z
80,0.07939335505833904,0.24516813493001616,0.1763247639399975,0.07053142474494328,77291,2026-02-19T10:31:50.856779Z
81,0.07939335505833904,0.1069476004510026,0.09157676274471523,0.011472543815232768,173959,2026-02-19T10:31:50.858234Z
82,0.07939335505833904,0.1809204313615771,0.11844679317699779,0.04463418819706624,563583,2026-02-19T10:31:50.859570Z
83,0.07939335505833904,0.18747648080695653,0.1472904377775119,0.04827985645112693,145709,2026-02-19T10:31:50.860053Z
84,0.07939335505833904,0.13776629920412592,0.10211806638217696,0.025522711559130915,535458,2026-02-19T10:31:50.860927Z
85,0.07939335505833904,0.12514762705736154,0.1079015519239485,0.020305826601794887,458583,2026-02-19T10:31:50.861539Z
86,0.07939335505833904,0.1463450618861857,0.10316534153079664,0.030584613371688475,627333,2026-02-19T10:31:50.863112Z
87,0.07939335505833904,0.18381740717810646,0.12961509723510728,0.042723758847462094,1882000,2026-02-19T10:31:50.865753Z
88,0.07939335505833904,0.12086127693706578,0.09882469617258731,0.017029143479368822,163000,2026-02-19T10:31:50.866839Z
89,0.07939335505833904,0.21546610059557142,0.16217101920447474,0.059334447745756656,397166,2026-02-19T10:31:50.868262Z
90,0.07939335505833904,0.3011205047008919,0.19139361465283078,0.09053400237470169,94792,2026-02-19T10:31:50.868937Z
91,0.07939335505833904,0.2608936384707892,0.1714797057926246,0.0741212726253399,104917,2026-02-19T10:31:50.871336Z
92,0.07939335505833904,0.18464653083280735,0.1411477764995334,0.04486654127386529,515875,2026-02-19T10:31:50.872912Z
93,0.07939335505833904,0.17374440231401914,0.1412119606951487,0.043732440908514914,161542,2026-02-19T10:31:50.873229Z
94,0.07939335505833904,0.1495021454238115,0.11113469891795424,0.029002753304199037,90792,2026-02-19T10:31:50.873671Z
95,0.07939335505833904,0.17888582100001826,0.12484135262067499,0.04106995802018627,1281541,2026-02-19T10:31:50.875510Z
96,0.07939335505833904,0.20773685885905063,0.14709533957225743,0.052633331447403814,175833,2026-02-19T10:31:50.876075Z
97,0.07939335505833904,0.18514308244354508,0.1385753721164278,0.0440839484108719,474250,2026-02-19T10:31:50.876873Z
98,0.07939335505833904,0.13071946827125108,0.09767350443383944,0.023411029194646066,225666,2026-02-19T10:31:50.877460Z
99,0.07939335505833904,0.09940590631981386,0.08748868111544524,0.008605453186484846,127542,2026-02-19T10:31:50.879188Z
100,0.06951658022999482,0.1680416602351078,0.12598726284446835,0.04149433541456537,158291,2026-02-19T10:31:50.890371Z
